Title,Year,Genre,Alias,Format,Link
Nameless,2018,XTRA PSY RAWSTYLE,Animozity feat. Project-G,OGG+WMV,
Corona,2019,Trance,ProjectG,OGG+WMV,
The Sundering,2019,Upheaval,八重蔵,WAV+WMV,
Midnight Flux,2019,Midnight Liquid Juke,ProjectG,OGG+WMV,
Theme,2019,G-Bass,ProjectG,OGG+WMV,
Aliens are BAD!,2020,Nan-Madol Festival,ProjectG as '東方朔',OGG+WMV,
Fake Life,2020,FAKE SKOOL TECHSTEP,ProjectG,OGG+WMV,
The Observer,2020,absurd crossbreed,absurd crossbreed,OGG+WMV,
G-Bass,2020,ProjectG,Theme,OGG+WMV,
Midnight Flux?,2020,ASMR,G++,OGG+WMV,
Regain,2021,Parasomnia,ProjectG,OGG+WMV,
glacier's poetry,2021,the skin,VeetaCrush & ProjectG,OGG+WMV,
For No Reason,2022,Introspective GDM,ProjectG as 'ProjectG',——,
